ID,Age_cal,Precision
9617,48223,1110
9679,48424,342
9424,10868,152
9423,10797,164
9453,15009,273
9492,37325,872
9489,35675,538
9437,13688,139
2055,47182,466
2039,43532,313
1966,26292,143
1840,4467,55
1821,964,45
117,4194,158
857,4194,158
1380,4194,158
2395,4194,158
2396,4194,158
2397,4194,158
2398,4194,158
3462,4194,158
4792,4194,158
4949,4194,158
5544,4194,158
5867,4194,158
6077,4194,158
6695,4194,158
6889,4194,158
7369,4194,158
8417,4194,158
8418,4194,158
8845,4194,158
115,728,92
116,728,92
624,728,92
635,728,92
636,728,92
642,728,92
643,728,92
820,728,92
821,728,92
855,728,92
1103,728,92
1378,728,92
1379,728,92
2200,728,92
2204,728,92
2205,728,92
2206,728,92
2207,728,92
2208,728,92
2209,728,92
2210,728,92
2211,728,92
2212,728,92
3459,728,92
3460,728,92
4791,728,92
4947,728,92
4948,728,92
5009,728,92
5010,728,92
5532,728,92
5864,728,92
5865,728,92
6075,728,92
6076,728,92
6690,728,92
6691,728,92
6886,728,92
6887,728,92
7356,728,92
7357,728,92
8081,728,92
8414,728,92
8415,728,92
8842,728,92
8843,728,92
2183,5391,131
6642,43689,649
1979,27723,154
1981,27867,228
1980,27755,178
1847,6861,96
1855,8068,63
1943,23876,180
1942,23844,232
1897,14462,274
1899,14462,274
2016,38447,783
2050,46722,1564
3347,46337,928
3339,43961,1292
1883,13240,75
3344,45028,1391
2036,43699,1035
2019,39445,872
2034,42468,930
1960,25656,229
1876,13004,127
3360,38696,1644
2435,7467,411
2436,7467,411
2437,7467,411
2438,7467,411
2439,7467,411
2440,7467,411
2441,7467,411
2442,7467,411
2443,7467,411
5834,7467,411
5835,7467,411
7487,7467,411
8092,7467,411
8431,7467,411
8432,7467,411
2750,1496,293
2751,1496,293
2752,1496,293
2753,1496,293
2754,1496,293
3063,1496,293
5848,1496,293
7488,1496,293
8097,1496,293
8438,1496,293
638,20480,864
645,20480,864
823,20480,864
861,20480,864
1363,20480,864
2202,20480,864
2582,20480,864
2583,20480,864
2584,20480,864
2585,20480,864
2586,20480,864
2587,20480,864
3473,20480,864
4802,20480,864
5088,20480,864
5551,20480,864
5879,20480,864
6699,20480,864
6896,20480,864
8421,20480,864
8852,20480,864
637,9161,240
649,9161,240
824,9161,240
858,9161,240
859,9161,240
1362,9161,240
2201,9161,240
2482,9161,240
2483,9161,240
2484,9161,240
2485,9161,240
2486,9161,240
2487,9161,240
2488,9161,240
2489,9161,240
2490,9161,240
2491,9161,240
2814,9161,240
3466,9161,240
4797,9161,240
4798,9161,240
5087,9161,240
5562,9161,240
5872,9161,240
5873,9161,240
5890,9161,240
6696,9161,240
6702,9161,240
6891,9161,240
6892,9161,240
6893,9161,240
8419,9161,240
8420,9161,240
8427,9161,240
8846,9161,240
8847,9161,240
8848,9161,240
639,3742,78
644,3742,78
822,3742,78
868,3742,78
869,3742,78
1364,3742,78
2203,3742,78
2774,3742,78
2775,3742,78
2776,3742,78
2777,3742,78
2778,3742,78
2779,3742,78
2780,3742,78
2781,3742,78
2782,3742,78
3479,3742,78
4805,3742,78
4806,3742,78
5090,3742,78
5543,3742,78
5882,3742,78
5883,3742,78
6694,3742,78
6700,3742,78
