bottom,mid,top,system,series,stage,bin
10000,5000,0,Quaternary,Holocene,Meghalayan/Northgrippian/Greenlandian,1
20000,15000,10000,Quaternary,Holocene,Tarantian,2
30000,25000,20000,Quaternary,Holocene,Tarantian,3
40000,35000,30000,Quaternary,Holocene,Tarantian,4
50000,45000,40000,Quaternary,Holocene,Tarantian,5
60000,55000,50000,Quaternary,Holocene,Tarantian,6
70000,65000,60000,Quaternary,Holocene,Tarantian,7
80000,75000,70000,Quaternary,Holocene,Tarantian,8
90000,85000,80000,Quaternary,Holocene,Tarantian,9
1.00E+05,95000,90000,Quaternary,Holocene,Tarantian,10
110000,105000,1.00E+05,Quaternary,Holocene,Tarantian,11
120000,115000,110000,Quaternary,Pleistocene,Tarantian,12
130000,125000,120000,Quaternary,Pleistocene,Tarantian,13
140000,135000,130000,Quaternary,Pleistocene,Chibanian,14
150000,145000,140000,Quaternary,Pleistocene,Chibanian,15
160000,155000,150000,Quaternary,Pleistocene,Chibanian,16
170000,165000,160000,Quaternary,Pleistocene,Chibanian,17
180000,175000,170000,Quaternary,Pleistocene,Chibanian,18
190000,185000,180000,Quaternary,Pleistocene,Chibanian,19
2.00E+05,195000,190000,Quaternary,Pleistocene,Chibanian,20
210000,205000,2.00E+05,Quaternary,Pleistocene,Chibanian,21
220000,215000,210000,Quaternary,Pleistocene,Chibanian,22
230000,225000,220000,Quaternary,Pleistocene,Chibanian,23
240000,235000,230000,Quaternary,Pleistocene,Chibanian,24
250000,245000,240000,Quaternary,Pleistocene,Chibanian,25
260000,255000,250000,Quaternary,Pleistocene,Chibanian,26
270000,265000,260000,Quaternary,Pleistocene,Chibanian,27
280000,275000,270000,Quaternary,Pleistocene,Chibanian,28
290000,285000,280000,Quaternary,Pleistocene,Chibanian,29
3.00E+05,295000,290000,Quaternary,Pleistocene,Chibanian,30
310000,305000,3.00E+05,Quaternary,Pleistocene,Chibanian,31
320000,315000,310000,Quaternary,Pleistocene,Chibanian,32
330000,325000,320000,Quaternary,Pleistocene,Chibanian,33
340000,335000,330000,Quaternary,Pleistocene,Chibanian,34
350000,345000,340000,Quaternary,Pleistocene,Chibanian,35
360000,355000,350000,Quaternary,Pleistocene,Chibanian,36
370000,365000,360000,Quaternary,Pleistocene,Chibanian,37
380000,375000,370000,Quaternary,Pleistocene,Chibanian,38
390000,385000,380000,Quaternary,Pleistocene,Chibanian,39
4.00E+05,395000,390000,Quaternary,Pleistocene,Chibanian,40
410000,405000,4.00E+05,Quaternary,Pleistocene,Chibanian,41
420000,415000,410000,Quaternary,Pleistocene,Chibanian,42
430000,425000,420000,Quaternary,Pleistocene,Chibanian,43
440000,435000,430000,Quaternary,Pleistocene,Chibanian,44
450000,445000,440000,Quaternary,Pleistocene,Chibanian,45
460000,455000,450000,Quaternary,Pleistocene,Chibanian,46
470000,465000,460000,Quaternary,Pleistocene,Chibanian,47
480000,475000,470000,Quaternary,Pleistocene,Chibanian,48
490000,485000,480000,Quaternary,Pleistocene,Chibanian,49
5.00E+05,495000,490000,Quaternary,Pleistocene,Chibanian,50
510000,505000,5.00E+05,Quaternary,Pleistocene,Chibanian,51
520000,515000,510000,Quaternary,Pleistocene,Chibanian,52
530000,525000,520000,Quaternary,Pleistocene,Chibanian,53
540000,535000,530000,Quaternary,Pleistocene,Chibanian,54
550000,545000,540000,Quaternary,Pleistocene,Chibanian,55
